data_status,timestamp_ms,theta_FE,theta_RUD,theta_thumb,angular_velocity,calibration_id,quality,task_phase
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,0,35.0,19.11463149620404,,,SYNTHETIC-NOT-CLINICAL,1.0,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,20,35.0,19.17130249405369,,,SYNTHETIC-NOT-CLINICAL,1.0,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,40,35.0,19.22721882121705,,,SYNTHETIC-NOT-CLINICAL,1.0,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,60,35.0,19.282373639848622,,,SYNTHETIC-NOT-CLINICAL,1.0,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,80,35.0,19.336760205225577,,,SYNTHETIC-NOT-CLINICAL,1.0,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,100,35.0,19.390371866572536,,,SYNTHETIC-NOT-CLINICAL,1.0,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,120,35.0,19.44320206787491,,,SYNTHETIC-NOT-CLINICAL,1.0,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,140,35.0,19.495244348680572,,,SYNTHETIC-NOT-CLINICAL,1.0,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,160,35.0,19.54649234488992,,,SYNTHETIC-NOT-CLINICAL,1.0,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,180,35.0,19.596939789534105,,,SYNTHETIC-NOT-CLINICAL,1.0,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,200,35.0,19.646580513541412,,,SYNTHETIC-NOT-CLINICAL,1.0,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,220,35.0,19.695408446491655,,,SYNTHETIC-NOT-CLINICAL,1.0,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,240,35.0,19.743417617358496,,,SYNTHETIC-NOT-CLINICAL,1.0,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,260,35.0,19.79060215523966,,,SYNTHETIC-NOT-CLINICAL,1.0,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,280,35.0,19.836956290074827,,,SYNTHETIC-NOT-CLINICAL,1.0,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,300,35.0,19.882474353351274,,,SYNTHETIC-NOT-CLINICAL,1.0,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,320,35.0,19.927150778797035,,,SYNTHETIC-NOT-CLINICAL,1.0,typing
