data_status,device_ms,condition,support_level,fsr_raw_adc,discomfort_nrs,safety_symptom_flag,user_continues,task_phase
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000000,C,1,1305.921382217345,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000020,C,1,1306.051384677588,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000040,C,1,1306.1813011342601,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000060,C,1,1306.3111297409607,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000080,C,1,1306.440868652538,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000100,C,1,1306.5705160251148,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000120,C,1,1306.700070016115,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000140,C,1,1306.8295287842898,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000160,C,1,1306.9588904897432,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000180,C,1,1307.0881532939593,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000200,C,1,1307.2173153598274,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000220,C,1,1307.3463748516685,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000240,C,1,1307.475329935262,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000260,C,1,1307.6041787778702,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000280,C,1,1307.7329195482662,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000300,C,1,1307.8615504167585,1.0,0,1,typing
